,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
1904,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,-28.5,112,1904
1905,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-29.0,113,1905
1906,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,-29.5,114,1906
1907,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest ,-0.5, - moved around - ,-30.0,115,1907
1908,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed ,go south,forest,-0.5, - moved around - ,-30.5,116,1908
1909,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-31.0,117,1909
1910,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-31.5,118,1910
1911,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,-32.0,119,1911
1912,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed ,go west,forest path,-0.5, - moved around - ,-32.5,120,1912
1913,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go west,forest,-0.5, - moved around - ,-33.0,121,1913
1914,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,-33.5,122,1914
1915,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-34.0,123,1915
1916,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest ,-0.5, - moved around - ,-34.5,124,1916
1917,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,-35.0,125,1917
1918,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-35.5,126,1918
1919,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-36.0,127,1919
1920,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest ,-0.5, - moved around - ,-36.5,128,1920
1921,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-37.0,129,1921
1922,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,-37.5,130,1922
1923,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-38.0,131,1923
1924,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,-38.5,132,1924
1925,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-39.0,133,1925
1926,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go south,forest,-0.5, - moved around - ,-39.5,134,1926
1927,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,-40.0,135,1927
1928,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,-40.5,136,1928
